"Stock.ID","Species","Stock","Region","Sub.Region","UseFlag","BroodYear","TotalEscapement","R0.1","R0.2","R0.3","R0.4","R0.5","R1.1","R1.2","R1.3","R1.4","R1.5","R2.1","R2.2","R2.3","R2.4","R3.1","R3.2","R3.3","R3.4"
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,1980,238038,NA,NA,NA,0,0,NA,NA,12754,54,0,NA,400014,132036,205,90,330,17,0
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,1981,214728,NA,NA,1134,0,0,NA,43049,6463,2,0,9594,210579,47413,41,0,18,93,0
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,1982,104503,NA,0,657,0,0,0,1324,7344,91,0,1333,70269,197258,1259,0,488,847,0
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,1983,172143,0,0,147,0,0,0,5044,16802,488,0,176,134380,160027,89,0,2093,0,0
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,1984,108151,0,0,429,0,0,0,2887,23787,185,0,19898,301375,142790,1261,0,11014,0,0
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,1985,170739,0,0,592,0,0,1,24407,138603,1058,0,14756,538445,217073,2789,0,38,2074,0
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,1986,98921,0,0,2512,0,0,172,62610,77677,1252,0,2269,412258,301036,416,0,5751,4290,0
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,1987,83395,0,0,910,57,0,0,77886,19211,321,0,17721,451063,490594,1909,1000,25598,2341,0
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,1988,140660,0,0,256,77,0,2101,15096,18515,109,0,29363,370999,250503,2886,0,224,143,0
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,1989,204804,0,0,1932,0,0,2599,6504,52714,2223,0,40756,638148,322645,439,0,1191,67,0
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,1990,262946,0,0,1037,82,0,0,35887,77905,94,0,11911,795302,250526,751,0,13215,1370,0
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,1991,173913,0,0,211,90,0,1123,39738,32615,979,0,15637,192725,91586,0,146,1564,1,0
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,1992,195830,0,0,741,226,0,247,7789,44890,0,0,19961,356357,73155,44,0,339,215,0
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,1993,197988,0,189,7940,1,0,122,6631,6601,184,0,30910,366291,114578,100,123,5819,1299,32
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,1994,204441,0,316,312,0,0,1705,20444,18139,55,32,21371,566411,156901,714,0,1098,229,0
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,1995,107961,0,24,497,0,0,1279,30943,47482,860,0,27553,455680,147895,1149,0,32,351,0
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,1996,119629,0,217,1287,32,0,1208,37755,15639,301,0,8026,271516,143781,423,0,19931,2901,0
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,1997,145311,0,0,1095,50,0,527,5718,2606,196,0,28904,198531,103653,0,201,7179,10,0
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,1998,193420,0,2749,1549,0,0,202,13224,13915,0,0,10321,163150,20433,139,0,375,25,0
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,1999,127890,211,2058,1316,0,0,347,5837,1592,520,0,27362,42043,32175,579,0,69,11,0
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,2000,90947,15,722,225,69,0,7625,15160,78873,1916,0,7762,491468,134683,1062,0,339,837,0
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,2001,122505,134,921,3355,106,0,540,14271,41740,816,0,10434,203429,124321,1670,0,5,0,0
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,2002,95520,11,7476,2354,104,0,6420,137064,150956,1123,0,15417,584702,136306,234,0,0,0,0
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,2003,139799,221,2665,2046,0,0,4320,62296,230760,1840.760612,0,17103,436775,145171.470201,0,0,232.771421,0,0
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,2004,80435,0,0,5012,0,0,1171,51056,24643,174,0,9458,115873,85731,0,0,0,0,0
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,2005,221752,0,0,0,0,0,419,6422,63392,0,0,9871,260270,117166,0,0,27,70,0
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,2006,182005,0,0,346,0,0,0,27840,50692,0,0,3337,33869,21657,518.3554,135,10994,1343.704,0
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,2007,224767,0,0,0,0,0,1753,4504,16311,58.6401,0,2348,56893,33431.964,564.3386,0,1407.207,193.7009,0
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,2008,195474,0,0,0,0,0,1366,1394,10068.2139,9.946,0,8315,225930.7408,68277.0953,0,0,2503.1488,489,0
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,2009,133263,0,0,0,0,0,807,11945.8612,8843.6056,0,0,14648.4061,373276.8004,110111,0,9.946,0,0,NA
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,2010,142966,0,0,133.194,0,0,0,6739.7294,2538,0,NA,9538.8512,417546,78302.05166121,NA,0,630.05530899,NA,NA
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,2011,132549,0,0,0,0,0,160.6435,8809,9596.760120428,NA,NA,32542,184773.01708437,NA,NA,0,NA,NA,NA
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,2012,116442,0,0,0,NA,0,666,7204.128644748,NA,NA,NA,9401.235937878,NA,NA,NA,NA,NA,NA,NA
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,2013,196926,0,0,NA,NA,0,43355.75025572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,2014,206954,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,2015,201664,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,"Sockeye","Bear","AK Peninsula","AK Peninsula",1,2016,139720,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
