Year,Escapement,R0.1,R0.2,R1.1,R1.2,R2.1,R1.3,R2.2,R2.3,R3.2
1961,47275,,,,,,,,,
1962,9390,,,,,,,,467,
1963,3092,,,,,,2181,2961,0,
1964,68129,,,,148042,1558,3973,122402,       ?,
1965,108963,,156,467,58836,3027,       ?,         ?,       ?,
1966,26593,,0,568,         ?,       ?,       ?,         ?,0,
1967,10821,,     ?,         ?,         ?,       ?,4976,4976,0,
1968,68048,?,     ?,         ?,71619,0,1151,10979,0,
1969,61196,?,0,0,17853,218,1475,12626,263,
1970,11460,,0,902,5290,295,778,4425,0,
1971,954,,0,0,3122,0,157,2662,726,
1972,28683,,0,778,36054,274,12445,10324,101,
1973,10202,,0,0,32145,0,201,1862,203,
1974,633,,0,223,10265,50,1656,3752,0,
1975,1724,,0,101,27042,0,0,2566,1646,
1976,19367,,0,1149,139991,0,20872,15670,379,
1977,11746,,0,0,27654,0,8800,1956,43,
1978,12580,,0,0,19524,221,2549,14216,197,197
1979,12169,,0,694,25191,0,1180,11604,1055,
1980,44263,,0,1210,182513,983,15511,69854,552,
1981,23048,,0,0,18994,106,3713,8028,       ? ,
1982,6782,,0,0,37030,201,       ?,         ?,0,
1983,10348,,0,702,         ?,       ?,2689,1905,514,
1984,36121,,     ?,         ?,106111,0,3712,7310,0,
1985,26178,?,224,1121,45000,0,8692,2840,261,
1986,6949,,0,571,31498,43,1762,6002,70,
1987,No Weir,,0,0,56108,261,1617,1687,523,
1988,31747,,130,652,65109,352,7925,18542,1166,
1989,57106,65,914,562,47102,0,1554,19814,379,
1990,14191,,523,150,52371,544,2441,2180,238,
1991,45814,,0,2176,17961,190,1549,1887,167,
1992,30627,,0,521,15014,377,889,7226,,
1993,34657,,79,715,43244,2890,,,833,
1994,23910,,0,1167,,,778,7193,260,0
1995,15292,,,,21168,30,3236,2691,233,
1996,5271,,3,726,56272,666,3366,4030,741,0
1997,41299,0,0,1236,47070,68,11054,1937,3148,0
1998,No Weir,34,0,420,60805,0,16761,13507,376,0
1999,27057,0,0,245,28345,0,11208,340,383,0
2000,22153,0,0,40,19237,13,31250,833,380,0
2001,55187,0,0,13,39104,47,3037,5917,2632,0
2002,40478,0,0,24,51144,29,7120,4517,0,0
2003,39845,0,9,17,12398,79,5042,531,2071,0
2004,13443,22,0,109,38566,0,10207,3830,738,0
2005,23523,0,0,88,34635,0,3975,2563,350,0
2006,42473,0,0,30,22359,289,1778,37691,527,
2007,17196,0,0,164,26710,781,,,,
2008,18495,0,0,131,,,,,,
2009,24025,0,,,,,,,,
2010,16291,,,,,,,,,
2011,24129,,,,,,,,,