Stock.ID,Species,Stock,Ocean Region,Region,Sub.Region,Jurisdiction,Lat,Lon,Source.ID
101,Sockeye,Washington,WC,WA,WA,WA,47.48,122.42,1
102,Sockeye,E.Stuart,WC,Fraser River,Fraser Early Stuart,BC,49.12,123.06,4
103,Sockeye,Bowron,WC,Fraser River,Fraser Early Summer,BC,49.12,123.06,4
104,Sockeye,Fennell,WC,Fraser River,Fraser Early Summer,BC,49.12,123.06,4
105,Sockeye,Gates,WC,Fraser River,Fraser Early Summer,BC,49.12,123.06,4
106,Sockeye,Nadina,WC,Fraser River,Fraser Early Summer,BC,49.12,123.06,4
107,Sockeye,Pitt,WC,Fraser River,Fraser Early Summer,BC,49.12,123.06,4
108,Sockeye,Raft,WC,Fraser River,Fraser Early Summer,BC,49.12,123.06,4
109,Sockeye,Scotch,WC,Fraser River,Fraser Early Summer,BC,49.12,123.06,4
110,Sockeye,Seymour,WC,Fraser River,Fraser Early Summer,BC,49.12,123.06,4
111,Sockeye,Chilko,WC,Fraser River,Fraser Summer,BC,49.12,123.06,4
112,Sockeye,L.Stuart,WC,Fraser River,Fraser Summer,BC,49.12,123.06,4
113,Sockeye,Quesnel,WC,Fraser River,Fraser Summer,BC,49.12,123.06,4
114,Sockeye,Stellako,WC,Fraser River,Fraser Summer,BC,49.12,123.06,4
115,Sockeye,Birkenhead,WC,Fraser River,Fraser Late,BC,49.12,123.06,4
116,Sockeye,Cultus,WC,Fraser River,Fraser Late,BC,49.12,123.06,4
117,Sockeye,Harrison,WC,Fraser River,Fraser Late,BC,49.12,123.06,4
118,Sockeye,L.Shuswap,WC,Fraser River,Fraser Late,BC,49.12,123.06,4
119,Sockeye,Portage,WC,Fraser River,Fraser Late,BC,49.12,123.06,4
120,Sockeye,Weaver,WC,Fraser River,Fraser Late,BC,49.12,123.06,4
121,Sockeye,Great Central,WC,BC South,Barkley Sound,BC,49.24,124.82,9
122,Sockeye,Sproat,WC,BC South,Barkley Sound,BC,49.24,124.82,9
123,Sockeye,Long Lake,WC,BC Central,BC Central,BC,51.29,127.68,8
124,Sockeye,Owikeno Lake,WC,BC Central,BC Central,BC,51.68,127.25,8
129,Sockeye,Redoubt,WC,SEAK,SEAK,AK,56.9,135.33,2
130,Sockeye,Speel,WC,SEAK,SEAK,AK,57.97,133.87,2
131,Sockeye,Chilkoot,WC,SEAK,SEAK,AK,58.92,135.23,2
138,Sockeye,Copper,GOA,PWS,PWS,AK,60.46,144.96,2
139,Sockeye,Coghill,GOA,PWS,PWS,AK,61.06,147.94,2
140,Sockeye,Eshamy,GOA,PWS,PWS,AK,60.47,147.94,2
141,Sockeye,Kenai,GOA,Cook Inlet,Upper Cook Inlet,AK,60.54,151.28,6
142,Sockeye,Kasilof,GOA,Cook Inlet,Upper Cook Inlet,AK,60.39,151.3,6
143,Sockeye,Crescent,GOA,Cook Inlet,Upper Cook Inlet,AK,60.19,152.66,6
144,Sockeye,Frazer,GOA,Kodiak,Kodiak,AK,57.13,154.04,5
145,Sockeye,Ayakulik,GOA,Kodiak,Kodiak,AK,57.2,154.54,5
146,Sockeye,E. Upper Station,GOA,Kodiak,Kodiak,AK,57.06,154.36,5
147,Sockeye,L. Upper Station,GOA,Kodiak,Kodiak,AK,57.06,154.36,5
149,Sockeye,Early Karluk,GOA,Kodiak,Kodiak,AK,57.57,154.45,5
150,Sockeye,Late Karluk,GOA,Kodiak,Kodiak,AK,57.57,154.45,5
151,Sockeye,Black Lake,GOA,Chignik,Chignik,AK,56.28,158.64,5
152,Sockeye,Chignik Lake,GOA,Chignik,Chignik,AK,56.28,158.64,5
153,Sockeye,Nelson,BS,AK Peninsula,AK Peninsula,AK,55.96,161.28,5
154,Sockeye,Bear,BS,AK Peninsula,AK Peninsula,AK,56.16,160.45,5
155,Sockeye,Ugashik,BS,Bristol Bay,Bristol Bay South,AK,57.5,157.6,3
156,Sockeye,Egegik,BS,Bristol Bay,Bristol Bay South,AK,58.25,157.38,3
157,Sockeye,Naknek,BS,Bristol Bay,Bristol Bay South,AK,58.78,157.08,3
158,Sockeye,Alagnak,BS,Bristol Bay,Bristol Bay South,AK,58.85,158.5,3
159,Sockeye,Kvichak,BS,Bristol Bay,Bristol Bay South,AK,58.85,157.03,3
160,Sockeye,Nushagak,BS,Bristol Bay,Bristol Bay North,AK,58.82,158.49,3
161,Sockeye,Wood,BS,Bristol Bay,Bristol Bay North,AK,58.82,158.62,3
162,Sockeye,Igushik,BS,Bristol Bay,Bristol Bay North,AK,58.68,158.8,3
163,Sockeye,Togiak,BS,Bristol Bay,Bristol Bay North,AK,58.95,160.45,11
164,Sockeye,Goodnews,BS,AYK,AYK,AK,59.11,161.62,7
165,Sockeye,Early Russian River,GOA,Cook Inlet,Upper Cook Inlet,AK,60.54,151.28,5